2022-12-28T06:54:27+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:28+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:28+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:28+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:28+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:29+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:29+00:00 CRITICAL syntax error, unexpected ''/assets/css/style.css'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 139

2022-12-28T06:54:51+00:00 CRITICAL syntax error, unexpected ''/assets/css/bootstrap.min.css' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 138

2022-12-28T06:54:52+00:00 CRITICAL syntax error, unexpected ''/assets/css/bootstrap.min.css' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 138

2022-12-28T06:54:52+00:00 CRITICAL syntax error, unexpected ''/assets/css/bootstrap.min.css' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 138

2022-12-28T06:54:52+00:00 CRITICAL syntax error, unexpected ''/assets/css/bootstrap.min.css' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 138

2022-12-28T06:54:52+00:00 CRITICAL syntax error, unexpected ''/assets/css/bootstrap.min.css' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/html/rithika/Exp/wp-content/themes/example/functions.php on line 138

